n,C(n3),b3_census,delta3,witness
6,20,2,0.10000000,2x3 (m=1)
10,120,20,0.16666667,2x5 (m=1)
12,220,12,0.05454545,3x4 (m=1)
14,364,28,0.07692308,2x7 (m=1)
15,455,30,0.06593407,3x5 (m=1)
18,816,24,0.02941176,2x9 (m=1)
20,1140,40,0.03508772,4x5 (m=1)
21,1330,42,0.03157895,3x7 (m=1)
22,1540,110,0.07142857,2x11 (m=1)
24,2024,168,0.08300395,3x8 (m=1)
26,2600,104,0.04000000,2x13 (m=1)
28,3276,56,0.01709402,4x7 (m=1)
30,4060,60,0.01477833,6x5 (m=1)
33,5456,165,0.03024194,3x11 (m=1)
34,5984,272,0.04545455,2x17 (m=1)
35,6545,70,0.01069519,7x5 (m=1)
36,7140,114,0.01596639,"1x19 + 1x17* (m=1, q=2, t=16)"
38,8436,228,0.02702703,2x19 (m=1)
39,9139,156,0.01706970,3x13 (m=1)
40,9880,280,0.02834008,5x8 (m=1)
42,11480,136,0.01184669,"1x25 + 1x17* (m=1, q=2, t=16)"
44,13244,220,0.01661130,4x11 (m=1)
45,14190,112,0.00789288,"2x8 + 1x29* (m=1, q=7, t=7)"
46,15180,506,0.03333333,2x23 (m=1)
48,17296,336,0.01942646,6x8 (m=1)
50,19600,400,0.02040816,2x25 (m=1)
51,20825,408,0.01959184,3x17 (m=1)
52,22100,253,0.01144796,"1x29 + 1x23* (m=1, q=11, t=11)"
54,24804,253,0.01019997,"1x31 + 1x23* (m=1, q=11, t=11)"
55,26235,275,0.01048218,5x11 (m=1)
56,27720,392,0.01414141,7x8 (m=1)
57,29260,342,0.01168831,3x19 (m=1)
58,30856,812,0.02631579,2x29 (m=1)
60,34220,253,0.00739334,"1x37 + 1x23* (m=1, q=11, t=11)"
62,37820,620,0.01639344,2x31 (m=1)
63,39711,253,0.00637103,"5x8 + 1x23* (m=1, q=11, t=11)"
65,43680,260,0.00595238,5x13 (m=1)
66,45760,330,0.00721154,6x11 (m=1)
68,50116,544,0.01085482,4x17 (m=1)
69,52394,759,0.01448639,3x23 (m=1)
70,54740,253,0.00462185,"1x23 + 1x47* (m=1, q=23, t=23)"
72,59640,504,0.00845070,9x8 (m=1)
74,64824,888,0.01369863,2x37 (m=1)
75,67525,600,0.00888560,3x25 (m=1)
76,70300,456,0.00648649,4x19 (m=1)
77,73150,385,0.00526316,7x11 (m=1)
78,76076,312,0.00410116,6x13 (m=1)
80,82160,560,0.00681597,10x8 (m=1)
82,88560,1640,0.01851852,2x41 (m=1)
84,95284,444,0.00465975,"1x37 + 1x47* (m=1, q=23, t=23)"
85,98770,689,0.00697580,"1x32 + 1x53* (m=1, q=13, t=13)"
86,102340,1204,0.01176471,2x43 (m=1)
87,105995,1218,0.01149111,3x29 (m=1)
88,109736,820,0.00747248,"1x41 + 1x47* (m=1, q=23, t=23)"
90,117480,602,0.00512428,"1x43 + 1x47* (m=1, q=23, t=23)"
91,121485,992,0.00816562,"1x32 + 1x59* (m=1, q=29, t=29)"
92,125580,1012,0.00805861,4x23 (m=1)
93,129766,930,0.00716675,3x31 (m=1)
94,134044,2162,0.01612903,2x47 (m=1)
95,138415,570,0.00411805,5x19 (m=1)
96,142880,14880,0.10414334,3x32 (m=5)
98,152096,1568,0.01030928,2x49 (m=1)
99,156849,737,0.00469879,"1x32 + 1x67* (m=1, q=11, t=11)"
100,161700,1081,0.00668522,"1x53 + 1x47* (m=1, q=23, t=23)"
102,171700,816,0.00475248,6x17 (m=1)
104,182104,728,0.00399772,13x8 (m=1)
105,187460,812,0.00433159,"2x29 + 1x47* (m=1, q=23, t=23)"
106,192920,2756,0.01428571,2x53 (m=1)
108,204156,1081,0.00529497,"1x61 + 1x47* (m=1, q=23, t=23)"
110,215820,602,0.00278936,"1x43 + 1x67* (m=1, q=11, t=11)"
111,221815,1332,0.00600500,3x37 (m=1)
112,227920,1378,0.00604598,"1x53 + 1x59* (m=1, q=29, t=29)"
114,240464,1081,0.00449548,"1x67 + 1x47* (m=1, q=23, t=23)"
115,246905,1265,0.00512343,5x23 (m=1)
116,253460,1624,0.00640732,4x29 (m=1)
117,260130,812,0.00312152,"2x29 + 1x59* (m=1, q=29, t=29)"
118,266916,3422,0.01282051,2x59 (m=1)
119,273819,952,0.00347675,7x17 (m=1)
120,280840,1220,0.00434411,"1x61 + 1x59* (m=1, q=29, t=29)"
122,295240,2440,0.00826446,2x61 (m=1)
123,302621,2460,0.00812898,3x41 (m=1)
124,310124,1240,0.00399840,4x31 (m=1)
126,325500,1474,0.00452842,"1x67 + 1x59* (m=1, q=29, t=29)"
129,349504,1806,0.00516732,3x43 (m=1)
130,357760,1711,0.00478254,"1x71 + 1x59* (m=1, q=29, t=29)"
132,374660,1711,0.00456681,"1x73 + 1x59* (m=1, q=29, t=29)"
133,383306,2525,0.00658743,"1x32 + 1x101* (m=5, q=5, t=25)"
134,392084,2948,0.00751880,2x67 (m=1)
135,400995,992,0.00247385,"1x32 + 1x103* (m=1, q=17, t=17)"
136,410040,1378,0.00336065,"1x53 + 1x83* (m=1, q=41, t=41)"
138,428536,1711,0.00399266,"1x79 + 1x59* (m=1, q=29, t=29)"
140,447580,1080,0.00241298,"1x81 + 1x59* (m=1, q=29, t=29)"
141,457310,3243,0.00709147,3x47 (m=1)
142,467180,4970,0.01063830,2x71 (m=1)
143,477191,1081,0.00226534,"3x32 + 1x47* (m=1, q=23, t=23)"
