n  B_recorded  entangled_score  ratio  config  q
78 465 468 1.006 6x13 q=None
105 506 812 1.605 2x29+47* q=23
117 702 812 1.157 2x29+59* q=29
133 1197 1332 1.113 2x37+59* q=29
152 1368 1395 1.020 3x31+59* q=29
189 2457 2756 1.122 2x53+83* q=41
207 2277 2352 1.033 2x49+109* q=3
222 3403 3996 1.174 6x37 q=None
230 3240 3403 1.050 3x49+83* q=41
231 2162 2664 1.232 4x37+83* q=41
247 2525 3280 1.299 4x41+83* q=41
253 2783 5256 1.889 2x73+107* q=53
275 3300 3403 1.031 3x64+83* q=41
285 3916 5671 1.448 2x89+107* q=53
299 3289 5671 1.724 3x64+107* q=53
308 4134 5671 1.372 3x67+107* q=53
319 4466 5512 1.234 4x53+107* q=53
341 5115 5513 1.078 3x64+149* q=37
345 6806 7832 1.151 2x89+167* q=83
357 5671 7832 1.381 2x89+179* q=89
368 4656 6633 1.425 3x67+167* q=83
385 10506 11772 1.121 2x109+167* q=83
391 8128 9312 1.146 2x97+197* q=7
399 7317 9653 1.319 2x101+197* q=7
413 11977 13203 1.102 2x125+163* q=3
429 13861 15500 1.118 2x125+179* q=89
437 9316 13203 1.417 2x137+163* q=3
455 6486 10512 1.621 4x73+163* q=3
459 10100 10512 1.041 4x73+167* q=83
465 13203 13861 1.050 2x149+167* q=83
476 13301 13861 1.042 3x103+167* q=83
477 12402 12656 1.020 2x113+251* q=5
488 14640 15759 1.076 3x103+179* q=89
493 13861 14520 1.048 2x121+251* q=5
525 18023 18632 1.034 2x137+251* q=5
533 10660 10980 1.030 6x61+167* q=83
549 21389 22052 1.031 2x149+251* q=5
589 26406 28392 1.075 2x169+251* q=5
608 22387 24003 1.072 3x127+227* q=113
637 19182 31375 1.636 2x193+251* q=5
644 25545 25651 1.004 3x139+227* q=113
649 31375 34453 1.098 2x193+263* q=131
657 23652 34453 1.457 2x197+263* q=131
663 21012 23544 1.121 4x109+227* q=113
665 15931 22052 1.384 2x149+367* q=61
667 19182 20200 1.053 4x101+263* q=131
693 27722 29756 1.073 2x173+347* q=173
728 32047 32896 1.026 3x157+257* q=2
740 28920 31375 1.085 3x163+251* q=5
741 36290 38612 1.064 2x197+347* q=173
752 32047 34453 1.075 3x163+263* q=131
775 34453 37056 1.076 2x193+389* q=97
777 32896 38612 1.174 2x197+383* q=191
783 32896 37733 1.147 2x197+389* q=97
805 49506 52212 1.055 2x229+347* q=173
817 34453 52212 1.515 2x229+359* q=179
855 32004 37733 1.179 2x233+389* q=97
873 60031 64261 1.070 2x257+359* q=179
890 39903 42588 1.067 3x169+383* q=191
893 32047 38612 1.205 2x197+499* q=83
897 39402 65792 1.670 2x257+383* q=191
902 44634 48870 1.095 3x181+359* q=179
903 38364 38612 1.006 2x197+509* q=127
913 60031 64261 1.070 2x277+359* q=179
943 37733 44104 1.169 4x149+347* q=173
945 56882 73153 1.286 2x281+383* q=191
969 62750 73153 1.166 2x293+383* q=191
975 37733 48984 1.298 4x157+347* q=173
981 64261 65792 1.024 2x257+467* q=233
992 63757 64261 1.008 3x211+359* q=179
1001 41417 65792 1.589 2x257+487* q=3
1017 56952 65792 1.155 2x257+503* q=251
1023 40640 56784 1.397 4x169+347* q=173
1025 41417 72092 1.741 2x269+487* q=3
1037 36046 37968 1.053 6x113+359* q=179
1045 79806 83232 1.043 2x289+467* q=233
1053 79806 85556 1.072 2x293+467* q=233
1057 79275 83232 1.050 2x289+479* q=239
1065 62750 78680 1.254 2x281+503* q=251
1070 61307 73153 1.193 3x229+383* q=191
1071 45300 60031 1.325 4x181+347* q=173
1073 58806 85556 1.455 2x293+487* q=3
1095 42778 48984 1.145 4x157+467* q=233
1105 73170 97656 1.335 2x313+479* q=239
